Month,Target Tonnes,Run Hours,TPH,Availability,Utilisation,Planned Maint,Unplanned,Internal Delays,External Delays
Jul-26,327166,350,940,73.4%,64.1%,168,30,40,156
Aug-26,440832,494,940,92.7%,71.6%,24,30,40,156
Sep-26,479583,477,940,92.6%,71.5%,24,29,39,151
Oct-26,423916,398,940,79.8%,67.0%,120,30,40,156
Nov-26,463500,477,940,92.6%,71.5%,24,29,39,151
Dec-26,405333,446,940,86.3%,69.5%,72,30,40,156
Jan-27,405333,446,940,86.3%,69.5%,72,30,40,156
Feb-27,366666,444,940,92.4%,71.5%,24,27,36,141
Mar-27,467166,398,940,79.8%,67.0%,120,30,40,156
Apr-27,405666,477,940,92.6%,71.5%,24,29,39,151
May-27,405666,446,940,86.3%,69.5%,72,30,40,156
Jun-27,417957,477,940,92.6%,71.5%,24,29,39,151
